Year,Month,Day,VESSEL,Vessel_No,CCSBT_Flag,STARTLATdeg,STARTLONGdeg,CCSBT,ICCAT_IOTC,Lat,Long,HOOKnr,TARGET,SBT,BETN,YFTN,ALBC,SKTN,SWFS,MKSH,BLSH
2002,2,27,ATU-S,1,ZAD,31,8,15,ICCAT,31.633,8.333,0,SWO,0,1992,0,0,0,0,0,0
2002,2,28,ATU-S,1,ZAD,31,8,15,ICCAT,31.633,8.333,0,SWO,0,1526,0,0,0,0,0,0
2002,3,1,ATU-S,1,ZAD,31,8,15,ICCAT,31.633,8.333,0,SWO,0,511,0,0,0,0,0,0
2002,3,2,ATU-S,1,ZAD,31,8,15,ICCAT,31.633,8.333,0,SWO,0,2219,0,0,0,0,0,0
2002,3,3,ATU-S,1,ZAD,31,8,15,ICCAT,31.633,8.333,0,SWO,0,280,0,0,0,0,0,0
2002,3,4,ATU-S,1,ZAD,31,8,15,ICCAT,31.633,8.333,0,SWO,0,1848,0,0,0,0,0,0
2002,3,5,ATU-S,1,ZAD,31,8,15,ICCAT,31.633,8.333,0,SWO,0,868,0,0,0,0,0,0
2002,9,19,DRIFTER,6,ZAD,36,20,9,IOTC,36.883,20.25,0,PEL SHARK,0,720,430,24,0,1270,70,80
2000,3,15,SW Lapwing,93,ZAD,35,18,9,ICCAT,35.083,18.417,0,PEL SHARK,0,40,60,0,0,0,500,0
2000,3,16,SW Lapwing,93,ZAD,35,18,9,ICCAT,35.783,18.233,0,PEL SHARK,0,0,320,0,0,0,1200,0
2000,3,17,SW Lapwing,93,ZAD,35,18,9,ICCAT,35.35,18.7,0,PEL SHARK,0,280,120,0,0,90,450,0
2000,3,18,SW Lapwing,93,ZAD,35,18,9,ICCAT,35.5,18.833,0,PEL SHARK,0,240,380,0,0,300,2050,80
2000,3,19,SW Lapwing,93,ZAD,35,18,9,ICCAT,35.35,18.7,0,PEL SHARK,0,200,48,0,0,60,2800,300
2001,11,3,STARFISH,25,ZAD,34,18,15,ICCAT,34.85,18.033,0,PEL SHARK,0,0,0,0,0,0,0,150
1996,4,30,Werkendam,96,ZAD,33,17,15,ICCAT,33,17.667,10,PEL SHARK,0,0,0,0,0,0,30,0
2000,11,19,Werkendam,96,ZAD,34,17,15,ICCAT,34.233,17.567,10,PEL SHARK,0,0,0,0,0,0,15,20
2000,11,21,Werkendam,96,ZAD,34,17,15,ICCAT,34.2,17.333,10,PEL SHARK,0,0,0,0,0,0,20,20
2000,4,29,Werkendam,96,ZAD,34,17,15,ICCAT,34.55,17.883,12,PEL SHARK,0,0,0,0,0,0,60,90
2000,5,1,Werkendam,96,ZAD,34,18,15,ICCAT,34.583,18.083,12,PEL SHARK,0,0,0,0,0,0,25,60
2000,11,18,Werkendam,96,ZAD,34,17,15,ICCAT,34,17.5,12,PEL SHARK,0,0,0,0,0,0,0,45
