"","Year","Month","Day","VESSEL","Vessel_No","CCSBT_Flag","STARTLATdeg","STARTLONGdeg","CCSBT","ICCAT_IOTC","Lat","Long","HOOKnr","TARGET","SBT","BETN","YFTN","ALBC","SKTN","SWFS","MKSH","BLSH","y","PC1","PC2","PC3","PC4","PC5","FT","Pr"
"382",2015,8,25,"SWELLENDAM",76,"ZAD",34,17,15,"ICCAT",-34.3,17.733,550,"SWO",0,0,0,0,0,0,340,240,0,3.4051757945878,-1.84632143750472,-1.35678804985283,-0.129457641381866,1.7649939899436,1,0
"416",2015,5,24,"SAXON",17,"ZAD",33,15,15,"ICCAT",-33.15,15.05,600,"SWO",0,0,0,25,0,326,18,50,543.333333333333,-1.12665100036154,-0.683286161533216,-1.57438099716624,-0.20840359111215,1.47977516455699,2,1
"417",2015,7,26,"SWELLENDAM",76,"ZAD",34,18,15,"ICCAT",-34.867,18.633,600,"SWO",0,0,0,0,0,0,350,80,0,3.36308857463621,-1.73267982486995,-1.29254944759343,-0.188086909716996,1.53057804426794,1,0
"418",2015,7,27,"SWELLENDAM",76,"ZAD",34,18,15,"ICCAT",-34.817,18.55,600,"SWO",0,0,0,0,0,0,510,70,0,3.32642581101043,-1.68555206563129,-1.2294127771589,-0.202091846801121,1.42240521560344,1,0
"419",2015,8,6,"BALANCE",2,"ZAD",35,17,9,"ICCAT",-35.433,17.817,600,"SWO",0,100,119,140,0,0,10,330,0,3.28164177587229,-0.6467298386337,-0.184183200910377,-0.223941477693615,0.0808107989669388,1,0
"420",2015,8,28,"SWELLENDAM",76,"ZAD",34,17,15,"ICCAT",-34.4,17.883,600,"SWO",0,0,0,0,0,0,320,70,0,3.36020732663784,-1.72847320367396,-1.28765727209766,-0.189546972362434,1.52114577455886,1,0
"421",2015,8,29,"SWELLENDAM",76,"ZAD",34,17,15,"ICCAT",-34.35,17.883,600,"SWO",0,0,0,0,0,0,620,260,0,3.39468341807434,-1.79297415852724,-1.34423515885394,-0.161952400044827,1.66023695810444,1,0
"427",2014,6,11,"SEAWIN EMERALD",19,"ZAD",30,14,15,"ICCAT",-30.367,14.05,600,"SWO",0,110,0,200,0,120,25,0,200,-0.519186403346962,1.45966943805093,-0.142722362945446,-0.439620062751096,0.309805043764723,2,1
"428",2014,7,19,"BALANCE",2,"ZAD",35,18,9,"ICCAT",-35.283,18,600,"SWO",0,82,133,0,0,293,12,118,488.333333333333,-0.719880943900807,-1.63030945376473,-0.424966942426538,0.161609631751896,0.619487516458025,2,1
"429",2014,8,10,"BALANCE",2,"ZAD",35,17,9,"ICCAT",-35.45,17.783,600,"SWO",0,333,92,850,0,91,50,100,151.666666666667,0.811382216051419,0.478700942046456,-0.659670544633686,-0.490621703447297,-0.00556283171805275,2,1
"430",2014,8,15,"SOUTHERN CRUSADER",24,"ZAD",31,14,15,"ICCAT",-31.667,14.667,600,"SWO",96,145,0,10,0,154,20,600,256.666666666667,0.360785400329701,0.710176610306794,-1.95399675112624,0.714045265818612,0.379619664429595,2,1
"432",2013,7,22,"SEAWIN EMERALD",19,"ZAD",30,13,15,"ICCAT",-30.45,13.95,600,"SWO",0,500,0,220,0,100,5,0,166.666666666667,-0.180961900365321,1.5740843330212,0.730939582868079,-0.202616776239902,0.287629447205097,2,1
"438",2011,6,14,"SEAWIN DIAMOND",18,"ZAD",36,19,9,"ICCAT",-36.233,19.833,600,"SWO",0,100,500,40,0,0,35,0,0,2.69429185188206,-0.895731298803429,0.925923407847629,-0.207630079409639,-1.69010231586444,1,0
"439",2011,6,15,"SEAWIN DIAMOND",18,"ZAD",36,18,9,"ICCAT",-36.183,18.067,600,"SWO",0,415,305,90,0,20,80,0,33.3333333333333,1.00177404438236,0.0280357974665566,0.438496881704161,-0.349753314077967,-1.20662964469752,2,1
"440",2011,6,17,"SEAWIN DIAMOND",18,"ZAD",36,18,9,"ICCAT",-36.117,18.6,600,"SWO",70,675,230,80,0,60,55,0,100,0.556126823640571,0.956814349364398,-0.497206161528278,0.415799401600697,-2.35008989843162,2,1
"443",2010,7,7,"SEAWIN DIAMOND",18,"ZAD",36,19,9,"ICCAT",-36.133,19.65,600,"SWO",65,190,0,30,0,0,65,0,0,3.01589700059464,2.2442525808262,-0.505580237381209,0.598369753475889,-1.84326702906033,1,0
"446",2007,7,1,"VIOLA",72,"ZAD",32,13,15,"ICCAT",-32.033,13.133,600,"SWO",288,350,0,148,0,0,0,0,0,2.3545913390458,2.37284627333985,0.408649328893865,1.20494231667398,-2.24939973868886,1,0
"449",2006,7,17,"EXTRACTOR",51,"ZAD",35,17,9,"ICCAT",-35.55,17.3,600,"SWO",0,130,80,0,0,26,15,0,43.3333333333333,-0.0309364679170943,-0.972172712409994,0.843085061957974,0.097896977344251,-0.701136981530571,2,1
"450",2005,2,17,"ATALANTA",38,"ZAD",32,16,15,"ICCAT",-32.833,16.533,600,"SWO",0,0,0,10,0,30,0,0,50,-1.89820626968696,-0.14348980535366,-0.16503519871479,-0.0214368063604848,0.554237487998626,2,1
"451",2005,6,4,"ATALANTA",38,"ZAD",29,11,15,"ICCAT",-29.233,11.8,600,"SWO",0,140,0,10,0,60,0,0,100,-1.08583355867773,0.995044481260273,1.34980404963054,0.196186448877896,0.528698357356922,2,1
"452",2005,10,13,"ATALANTA",38,"ZAD",30,14,15,"ICCAT",-30.967,14.767,600,"SWO",0,280,0,0,0,230,0,0,383.333333333333,-1.51642971537821,0.0357233888251517,1.58388237636427,0.516986166899357,0.853978328790034,2,1
"453",2005,12,18,"CHRISTINA DEBORA",42,"ZAD",35,18,9,"ICCAT",-35.333,18.633,600,"SWO",0,40,1870,0,0,120,0,0,200,-0.356840539848773,-2.36504724421631,1.2824717825241,0.450096698342041,-1.13788763972288,2,1
"602",2011,11,4,"SEAWIN DIAMOND",18,"ZAD",36,19,9,"ICCAT",-36.067,19.25,620,"SWO",0,25,75,10,0,85,140,0,137.096774193548,-0.300698611268728,-0.52655870405781,-0.724772348814773,-0.466961110891805,-0.711013157067704,2,1
"621",2015,8,23,"SWELLENDAM",76,"ZAD",34,17,15,"ICCAT",-34.4,17.95,650,"SWO",0,0,0,0,0,0,570,160,0,3.37563953240849,-1.75267817487771,-1.31362852667033,-0.180530427935834,1.57476507724517,1,0
"626",2012,8,30,"SEAWIN DIAMOND",18,"ZAD",30,12,15,"ICCAT",-30.517,12.1,650,"SWO",24,0,0,0,0,275,10,0,423.076923076923,-1.71963170187357,-0.496850038449718,-1.36876017848855,0.762345989042295,-0.351730139126931,2,1
"627",2011,4,15,"SEAWIN DIAMOND",18,"ZAD",36,18,9,"ICCAT",-36.767,18.283,650,"SWO",0,0,12,0,0,30,200,140,46.1538461538462,0.861358583350425,-2.30594676614151,-2.06858463483685,-0.226203921464315,1.18478304699007,2,1
